user_id,qualifications,experience_years,course_grades,projects_completed,extracurriculars,is_suitable,interview_performance
1,Python;Data Analysis;SQL,3,75.26,9,0,1,3.560161891497153
2,Java,4,74.25,6,2,1,3.8314043710761627
3,Data Analysis,2,74.89,4,3,0,2.692919765730737
4,Data Analysis,4,72.73,2,3,1,3.2778532568253214
5,Machine Learning;Python;C++,4,84.85,1,4,0,3.0432861919861462
6,Python,1,66.57,7,3,1,2.9118357692304975
7,Java,2,93.84,1,3,0,2.719515833049385
8,Machine Learning,2,92.5,7,2,0,3.3859257566789664
9,Python;Machine Learning;Java,2,79.06,4,1,0,2.4696900397324995
10,Data Analysis;Machine Learning;C++,4,94.11,8,3,1,4.417229973138763
11,C++,3,69.89,3,1,0,2.646152624921026
12,SQL;Python;Java,2,60.7,7,0,0,2.5379935517515113
13,C++;SQL;Machine Learning,5,84.77,6,3,0,3.796617481289623
14,Java,4,78.32,7,0,0,3.145578770490111
15,Python;Data Analysis,1,82.69,4,0,1,2.732234089977129
16,Python;SQL,3,95.97,1,4,1,3.215315054326367
17,Machine Learning;SQL,5,98.8,6,1,0,3.7301546176749976
18,Data Analysis,5,85.38,2,1,1,3.5804489803911195
19,Machine Learning;Python,1,90.56,9,4,1,4.0346272236625
20,Python;Machine Learning,3,63.35,9,2,0,3.3358779139489005
21,Data Analysis;Machine Learning,4,66.43,9,4,0,3.9767078422032753
22,Machine Learning;Java,0,89.33,9,4,1,3.524359033688663
23,Python;Data Analysis;Java,3,77.25,1,4,1,3.181876608196688
24,Python;Java,1,77.84,2,0,1,2.2409952111588067
25,C++,5,72.34,3,1,1,3.208470068685775
26,C++;SQL,4,84.29,9,2,1,4.2122070064627275
27,SQL,3,67.41,6,3,1,3.362223375484078
28,Java;SQL,0,85.08,9,3,0,3.1138080239203907
29,Data Analysis;Python;Java,0,66.95,0,3,1,1.969253650109008
30,Data Analysis;Java;Machine Learning,2,62.55,5,2,0,2.3962870562972314
31,C++;SQL,2,73.21,5,3,0,3.024142143894696
32,Data Analysis;Machine Learning;Java,1,69.25,7,2,1,2.930779976155176
33,SQL;Python;Java,3,95.56,1,3,1,3.105425467453688
34,SQL,3,62.2,1,3,0,2.3216192905639557
35,SQL;Python,5,67.06,0,2,1,2.8816684043019447
36,Machine Learning,5,81.95,2,1,1,3.4384613313225034
37,SQL;Java;C++,5,79.24,6,2,0,3.8260669651421937
38,Data Analysis;C++,2,61.83,7,2,1,2.952012229252964
39,SQL,3,60.29,6,4,0,3.201104382499935
40,Java,3,99.52,8,0,0,3.4708374460656803
41,Machine Learning;Data Analysis;SQL,0,86.35,7,0,1,2.6029127582720246
42,Machine Learning;C++;Data Analysis,2,74.62,7,1,0,2.9582188151025375
43,Java;Data Analysis,4,78.82,1,1,0,2.5807704617804874
44,C++;Python;Machine Learning,2,70.66,0,1,0,1.985149799990041
45,Java,4,73.79,5,0,1,3.345047696537442
46,Java;C++;Python,0,85.96,6,1,1,2.9340302642709535
47,C++;Machine Learning,1,95.31,5,1,1,3.160234861613879
48,Machine Learning;SQL,3,67.37,6,2,1,3.2794858736799735
49,Python;Data Analysis;SQL,0,93.61,7,2,0,2.922284648410377
50,SQL;Python;Data Analysis,3,64.86,1,0,0,2.192991340829667
51,Java;C++,5,68.6,0,2,1,2.992424449467541
52,Data Analysis,1,61.49,9,1,0,2.685814677394362
53,SQL;Machine Learning;Java,1,65.63,7,2,0,2.4906077500008785
54,Python;SQL;Java,0,96.69,7,4,1,3.6011262147751877
55,SQL,1,78.38,7,2,1,3.120931635738088
56,Machine Learning,4,63.11,9,0,1,3.6541210902276493
57,Python;Machine Learning;SQL,1,98.39,6,1,0,2.7799612331602654
58,Python;Data Analysis,3,95.16,1,1,1,2.9970492656284486
59,SQL;Java,3,90.19,3,0,1,3.0600176048691416
60,Java,3,97.34,8,2,0,3.814468361666976
61,Python;Data Analysis;C++,3,68.81,7,1,1,3.371774872404828
62,Machine Learning,4,93.45,3,1,1,3.375541363938388
63,Java,2,87.6,7,4,0,3.4756136249070324
64,C++;Machine Learning;Java,5,94.79,9,0,1,4.391123165786697
65,Machine Learning;Data Analysis,0,91.88,5,2,1,2.6611980095905206
66,Java;Machine Learning,3,73.86,8,2,0,3.495175202636255
67,Data Analysis;Java;SQL,1,90.98,0,1,1,2.219447052052959
68,Data Analysis;SQL,3,70.5,5,3,1,3.4332766631277605
69,Machine Learning;C++,1,73.14,3,4,0,2.4622292744415364
70,Java,5,64.32,2,4,0,2.9762992356045457
71,Python,5,97.4,4,4,1,4.329809526473583
72,Python;Machine Learning,5,71.64,9,1,0,3.6538047180070627
73,Java;Machine Learning;Data Analysis,1,80.82,7,0,0,2.784287562231705
74,Python,3,75.65,9,0,1,3.7069581430396283
75,Data Analysis;Python;Java,5,98.4,5,4,0,4.183420950504389
76,Python,4,73.4,0,3,1,3.028391577365921
77,Python;Machine Learning,1,91.14,5,3,1,3.136946386061891
78,SQL,1,94.22,6,2,0,3.151415492342509
79,C++;Java;Machine Learning,3,77.42,5,3,0,3.08158316642668
80,Machine Learning;Data Analysis;C++,1,75.13,2,4,0,2.423771111894685
81,C++,1,89.91,8,2,1,3.3654219308197675
82,Java;Python,5,96.52,9,4,0,4.5579536002201495
83,Data Analysis,3,90.2,9,0,1,3.858598081892953
84,SQL;C++,5,69.09,3,4,0,3.3694197998615527
85,C++;Python,5,95.53,4,2,1,3.865878660133393
86,Data Analysis;Python;Machine Learning,3,75.5,4,4,1,3.594925325046641
87,Data Analysis;SQL,0,83.05,2,1,0,1.8305453495937583
88,Java,5,93.26,1,2,1,3.3849586061918466
89,Java,4,67.54,7,3,1,3.6535078308224467
90,C++;Java;Data Analysis,4,91.38,6,0,1,3.863358647854047
91,SQL,1,83.85,4,3,0,2.715350596741288
92,Java;Python,4,95.73,0,4,0,3.283904880335329
93,Machine Learning;Python,1,66.88,9,3,0,3.138131406548049
94,Data Analysis,0,76.83,0,2,0,1.7895175492268813
95,Python;Data Analysis;Java,3,93.31,7,1,0,3.610287136587926
96,C++,3,60.77,3,3,0,2.4015970177789745
97,C++;Java,3,64.49,3,4,0,2.700873661213719
98,Python;Java,4,99.62,8,3,1,4.408113740679357
99,Python;C++,0,71.22,1,3,1,1.9761600793131409
100,C++;SQL,4,99.02,4,2,0,3.5295227888017733
101,Data Analysis;Machine Learning,4,67.3,5,4,1,3.658344606807348
102,Data Analysis;C++;Java,0,74.44,5,4,0,2.3151026750568167
103,SQL,0,90.11,9,1,1,3.2122148823564003
104,Python,0,86.31,2,2,0,1.9600655773973306
105,Data Analysis;Machine Learning;Python,0,83.24,9,2,1,3.330626407624536
106,SQL;Python;Machine Learning,3,81.2,5,0,1,2.9775034505202047
107,C++;Machine Learning;Java,2,93.74,9,1,1,3.8033074764228587
108,Machine Learning,2,69.4,9,1,0,3.2275243860141503
109,Java,0,77.7,4,4,0,2.3408433457034503
110,Machine Learning,2,66.22,7,4,1,3.3126720355252006
111,Data Analysis,2,83.84,3,1,1,2.876482191969364
112,C++,0,70.02,9,2,1,2.961603154093343
113,Machine Learning,2,73.35,9,0,0,3.0164627499681296
114,Machine Learning,4,78.85,2,4,0,3.154640058976845
115,Python;Machine Learning;Data Analysis,1,61.07,5,0,0,2.115916963540885
116,Data Analysis;Machine Learning,1,63.68,9,1,0,2.8851924264939557
117,Machine Learning;SQL;Data Analysis,0,87.44,8,2,1,3.0886131001512993
118,Data Analysis,3,77.16,7,0,0,3.232798042380994
119,SQL;Java;Data Analysis,0,94.59,9,3,1,3.4352018449270307
120,Java;SQL,3,87.79,7,1,1,3.5420274776268768
121,SQL;Python,1,60.32,2,2,0,1.7757874261373807
122,C++,0,84.67,0,1,0,1.6955846126254923
123,Machine Learning;Python;Data Analysis,5,63.75,2,1,0,2.7764813578746166
124,Java;Machine Learning;SQL,4,91.24,2,0,0,2.908652888125918
125,SQL,2,99.66,5,0,0,2.960755681696766
126,Java,3,81.25,2,3,1,2.96085073944989
127,SQL;Java,5,87.31,1,4,1,3.5497296025669525
128,Machine Learning;SQL,2,69.49,8,3,0,3.3499837989155496
129,Data Analysis;Machine Learning;Python,2,77.5,5,2,1,3.140050696078671
130,Machine Learning;SQL;Python,0,94.24,4,2,1,2.6557921038326886
131,SQL,2,66.7,2,1,0,2.198699318220902
132,Python,4,70.62,6,0,1,3.2860366724434575
133,Machine Learning;Java;SQL,5,77.82,6,1,1,3.769596318792317
134,Machine Learning;Java,2,88.49,3,4,1,3.4307926252565366
135,SQL;Java;Data Analysis,0,75.04,9,1,0,2.6121732549823475
136,C++;SQL;Python,4,97.11,1,2,0,3.125251688485136
137,Data Analysis,1,63.78,1,2,1,2.102053499579863
138,SQL;Python,5,74.83,7,3,0,3.7485791652285045
139,SQL,2,88.36,3,1,1,2.956232291413397
140,Data Analysis,0,69.04,6,0,1,2.376299135573765
141,Java;C++,1,86.26,2,4,0,2.48041642428882
142,Data Analysis;C++;Python,1,66.57,8,4,0,3.045743028923906
143,Python,3,62.24,9,0,0,3.1967708252930174
144,Java;Machine Learning;Python,4,64.84,8,4,1,4.000407502590241
145,Machine Learning;Data Analysis,2,97.2,6,0,0,2.8875179188552638
146,C++,0,82.07,6,0,1,2.434824674563906
147,Python,3,91.85,0,3,0,2.7293593391779907
148,SQL;Python,4,73.31,9,1,0,3.5002993786222696
149,Java;Data Analysis,3,83.71,7,2,0,3.5947263699352052
150,Python;SQL;C++,5,79.8,1,2,0,2.8248649083616884
151,Data Analysis;Java;Machine Learning,4,97.83,7,1,1,3.88550966103954
152,Java,4,89.9,1,4,0,3.2193489731469924
153,Python;Java,2,89.22,0,0,1,2.4991250416848065
154,SQL;C++;Java,4,61.85,7,2,1,3.583099399131475
155,Java;Python,3,81.99,3,3,0,2.877513973154045
156,Python;C++,4,78.68,9,4,1,4.470158169644635
157,Java,2,97.11,5,3,1,3.469516176662995
158,SQL;Data Analysis,2,70.29,9,2,1,3.4954319562476193
159,Java,5,70.79,9,1,0,3.725491125849373
